id,experiment_id,family,apex_angle,rectangle_ratio,pattern,evidence,pieces,utilization,upper_bound,gap,fingerprint
"iso-a95-r1p95","isosceles/apex-95/rectangle-1.95","isosceles","95","1.95","obtuse horizontal lattice","verified_best_known","220","0.8780562242795862","0.997791163954072","0.11973493967448579","tpa1-47e0ed7808de297e"
"iso-a95-r2p1","isosceles/apex-95/rectangle-2.1","isosceles","95","2.1","obtuse horizontal lattice","verified_best_known","231","0.8561048186725967","0.9969359143849684","0.14083109571237173","tpa1-f2bc5868a02d6337"
"iso-a95-r2p25","isosceles/apex-95/rectangle-2.25","isosceles","95","2.25","obtuse horizontal lattice","verified_best_known","253","0.875129370198655","0.9996537074601195","0.1245243372614645","tpa1-7d4b6af84f46fbda"
"iso-a95-r2p4","isosceles/apex-95/rectangle-2.4","isosceles","95","2.4","obtuse horizontal lattice","verified_best_known","275","0.8917758527839559","0.9987889551180261","0.10701310233407024","tpa1-d6d26b030b9484bd"
"iso-a95-r2p55","isosceles/apex-95/rectangle-2.55","isosceles","95","2.55","obtuse horizontal lattice","verified_best_known","286","0.8728911876661782","0.9980259383455906","0.12513475067941238","tpa1-f214b3fd42b932f1"
"iso-a95-r2p7","isosceles/apex-95/rectangle-2.7","isosceles","95","2.7","obtuse horizontal lattice","verified_best_known","300","0.8647523420935334","0.9973477012145368","0.1325953591210034","tpa1-65b57231d4effff1"
"iso-a95-r2p85","isosceles/apex-95/rectangle-2.85","isosceles","95","2.85","obtuse horizontal lattice","verified_best_known","300","0.8192390609307159","0.9994716543354683","0.1802325934047524","tpa1-b200c578908adc94"
"iso-a95-r3","isosceles/apex-95/rectangle-3","isosceles","95","3","obtuse horizontal lattice","verified_best_known","300","0.77827710788418","0.9987889551180261","0.2205118472338461","tpa1-462ef355f1b735bc"
"iso-a100-r0p75","isosceles/apex-100/rectangle-0.75","isosceles","100","0.75","vertical lattice","verified_best_known","81","0.8309315416040494","0.9950661671060853","0.16413462550203595","tpa1-b217b82eb13fe415"
"iso-a100-r0p9","isosceles/apex-100/rectangle-0.9","isosceles","100","0.9","vertical lattice","verified_best_known","99","0.846319162744865","0.9916466957414596","0.14532753299659462","tpa1-041bb1b9002badf1"
"iso-a100-r1p05","isosceles/apex-100/rectangle-1.05","isosceles","100","1.05","obtuse horizontal lattice","verified_best_known","120","0.8792926366180412","0.996531654833782","0.11723901821574079","tpa1-5540e3379a271a56"
"iso-a100-r1p2","isosceles/apex-100/rectangle-1.2","isosceles","100","1.2","obtuse horizontal lattice","verified_best_known","132","0.8463191627448649","0.9937838653443508","0.14746470259948596","tpa1-502222c30643a529"
"iso-a100-r1p35","isosceles/apex-100/rectangle-1.35","isosceles","100","1.35","obtuse horizontal lattice","verified_best_known","156","0.8890625548026861","0.9973458146825023","0.10828325987981613","tpa1-8fd6c6ce43bf8409"
"iso-a100-r1p5","isosceles/apex-100/rectangle-1.5","isosceles","100","1.5","obtuse horizontal lattice","verified_best_known","168","0.8617067838856803","0.9950661671060853","0.13335938322040497","tpa1-9a67637731ec673d"
"iso-a100-r1p65","isosceles/apex-100/rectangle-1.65","isosceles","100","1.65","obtuse horizontal lattice","verified_best_known","192","0.895279775465642","0.9978639164044155","0.10258414093877355","tpa1-e13f1d022fb52c9e"
"iso-a100-r1p8","isosceles/apex-100/rectangle-1.8","isosceles","100","1.8","obtuse horizontal lattice","verified_best_known","204","0.8719651979795574","0.9959210349472417","0.12395583696768431","tpa1-5cf906905fbe31e1"
"iso-a100-r1p95","isosceles/apex-100/rectangle-1.95","isosceles","100","1.95","obtuse horizontal lattice","verified_best_known","228","0.8995840051553805","0.9982226022118937","0.09863859705651323","tpa1-fb718f485a5b183a"
"iso-a100-r2p1","isosceles/apex-100/rectangle-2.1","isosceles","100","2.1","obtuse horizontal lattice","verified_best_known","240","0.879292636618041","0.996531654833782","0.11723901821574101","tpa1-95e2ce2a1beac743"
"iso-a100-r2p25","isosceles/apex-100/rectangle-2.25","isosceles","100","2.25","obtuse horizontal lattice","verified_best_known","264","0.9027404402611887","0.998485638470711","0.09574519820952232","tpa1-e2acfcea6985a769"
"iso-a100-r2p4","isosceles/apex-100/rectangle-2.4","isosceles","100","2.4","obtuse horizontal lattice","verified_best_known","288","0.9232572684489431","0.9969896197486874","0.07373235129974431","tpa1-c1002147da804982"
"iso-a100-r2p55","isosceles/apex-100/rectangle-2.55","isosceles","100","2.55","obtuse horizontal lattice","verified_best_known","300","0.9051541847538658","0.9986867838451009","0.09353259909123512","tpa1-d4ef087ddc24f84c"
"iso-a100-r2p7","isosceles/apex-100/rectangle-2.7","isosceles","100","2.7","obtuse horizontal lattice","verified_best_known","300","0.8548678411564287","0.9973458146825023","0.1424779735260736","tpa1-69ddfdf43ccfd492"
"iso-a100-r2p85","isosceles/apex-100/rectangle-2.85","isosceles","100","2.85","obtuse horizontal lattice","verified_best_known","300","0.8098747968850377","0.9988455828248821","0.1889707859398444","tpa1-2dd5b9546715bcf9"
"iso-a100-r3","isosceles/apex-100/rectangle-3","isosceles","100","3","obtuse horizontal lattice","verified_best_known","300","0.7693810570407859","0.9976307706295545","0.22824971358876867","tpa1-dac2a101e5527c43"
"iso-a105-r0p75","isosceles/apex-105/rectangle-0.75","isosceles","105","0.75","vertical lattice","verified_best_known","83","0.8351233706457557","0.9961110083606016","0.16098763771484592","tpa1-8b92f8f97defaebb"
"iso-a105-r0p9","isosceles/apex-105/rectangle-0.9","isosceles","105","0.9","obtuse horizontal lattice","verified_best_known","104","0.8720163709554076","0.9977879629201314","0.12577159196472376","tpa1-afa0606df251557b"
"iso-a105-r1p05","isosceles/apex-105/rectangle-1.05","isosceles","105","1.05","obtuse horizontal lattice","verified_best_known","117","0.8408729291355715","0.9989857876055095","0.15811285846993794","tpa1-d1f18e1a171b3497"
